id	token	visible	frequency_full	is_special	length_chars
2227	▁శా	▁శా	3	False	3
2228	▁సి	▁సి	3	False	3
2229	▁వ్యవస్థ	▁వ్యవస్థ	9	False	8
2230	▁ఇత	▁ఇత	2	False	3
2231	▁ಧರ್ಮ	▁ಧರ್ಮ	8	False	5
2232	▁ಅನೇಕ	▁ಅನೇಕ	8	False	5
2233	ಯಲ್ಲಿ	ಯಲ್ಲಿ	0	False	5
2234	ಲಕ್ಷ	ಲಕ್ಷ	1	False	4
2235	ವನ್ನು	ವನ್ನು	2	False	5
2236	ಶ್ಚಿಮ	ಶ್ಚಿಮ	0	False	5
2237	▁ಅಂ	▁ಅಂ	3	False	3
2238	▁ಮಾ	▁ಮಾ	4	False	3
2239	▁ಮೊ	▁ಮೊ	2	False	3
2240	▁ಸಿ	▁ಸಿ	0	False	3
2241	▁it	▁it	21	False	3
2242	ut	ut	1	False	2
2243	op	op	0	False	2
2244	▁ex	▁ex	0	False	3
2245	ab	ab	0	False	2
2246	ally	ally	3	False	4
2247	ter	ter	2	False	3
2248	ich	ich	1	False	3
2249	▁or	▁or	50	False	3
2250	ang	ang	0	False	3
2251	▁के	▁के	427	False	3
2252	▁में	▁में	354	False	4
2253	▁भा	▁भा	21	False	3
2254	▁अ	▁अ	128	False	2
2255	भार	भार	1	False	3
2256	▁है	▁है	52	False	3
2257	▁औ	▁औ	4	False	2
2258	▁स	▁स	78	False	2
2259	रत	रत	4	False	2
2260	▁का	▁का	156	False	3
2261	▁"	▁"	8	False	2
2262	▁పార్టీ	▁పార్టీ	10	False	7
2263	▁మార్గా	▁మార్గా	3	False	7
2264	▁దక్షి	▁దక్షి	0	False	6
2265	▁4	▁4	6	False	2
2266	చ్చింది.	చ్చింది.	1	False	8
2267	డిన	డిన	2	False	3
2268	నాభా	నాభా	0	False	4
2269	నాలు	నాలు	5	False	4
2270	▁చి	▁చి	2	False	3
2271	▁ಸು	▁ಸು	2	False	3
2272	▁ಪೂರ್ವ	▁ಪೂರ್ವ	7	False	6
2273	▁ಪಶ್ಚಿಮ	▁ಪಶ್ಚಿಮ	7	False	7
2274	▁ಹೆಚ್ಚು	▁ಹೆಚ್ಚು	7	False	7
2275	▁ಹೆಸ	▁ಹೆಸ	0	False	4
2276	▁೧೯	▁೧೯	5	False	3
2277	▁ರಲ್ಲಿ	▁ರಲ್ಲಿ	7	False	6
2278	▁ಶತ	▁ಶತ	2	False	3
2279	%),	%),	0	False	3
2280	ಡಳಿ	ಡಳಿ	0	False	3
2281	▁H	▁H	1	False	2
2282	tic	tic	0	False	3
2283	▁In	▁In	52	False	3
2284	▁has	▁has	55	False	4
2285	um	um	2	False	2
2286	ac	ac	0	False	2
2287	▁on	▁on	40	False	3
2288	se	se	0	False	2
2289	ud	ud	0	False	2
2290	▁su	▁su	0	False	3
2291	▁పం	▁పం	6	False	3
2292	▁పరి	▁పరి	4	False	4
2293	▁జనాభా	▁జనాభా	9	False	6
2294	▁దేశంలో	▁దేశంలో	5	False	7
2295	▁మొద	▁మొద	1	False	4
2296	▁హిందూ	▁హిందూ	8	False	6
2297	▁ప్రాంతా	▁ప్రాంతా	4	False	8
2298	పెద్ద	పెద్ద	0	False	5
2299	రాలు	రాలు	3	False	4
2300	లు.	లు.	7	False	3
2301	▁3	▁3	5	False	2
2302	50	50	4	False	2
2303	▁194	▁194	1	False	4
2304	▁చెం	▁చెం	2	False	4
2305	▁పు	▁పు	5	False	3
2306	▁బ	▁బ	4	False	2
2307	▁రెం	▁రెం	0	False	4
2308	▁వం	▁వం	2	False	3
2309	▁శ	▁శ	5	False	2
2310	▁సాం	▁సాం	1	False	4
2311	▁from	▁from	52	False	5
2312	▁which	▁which	51	False	6
2313	▁D	▁D	1	False	2
2314	ay	ay	0	False	2
2315	ies	ies	2	False	3
2316	▁G	▁G	0	False	2
2317	▁N	▁N	0	False	2
2318	ld	ld	1	False	2
2319	ore	ore	1	False	3
2320	di	di	0	False	2
2321	ಪಂಚ	ಪಂಚ	0	False	3
2322	ಮಾನ	ಮಾನ	1	False	3
2323	ಮಿಲಿಯ	ಮಿಲಿಯ	0	False	5
2324	ರ್ಥಿಕ	ರ್ಥಿಕ	0	False	5
2325	ಲಸೆ	ಲಸೆ	0	False	3
2326	ಸ್ಥಾನ	ಸ್ಥಾನ	2	False	5
2327	▁ಇಂ	▁ಇಂ	3	False	3
2328	▁ಗ	▁ಗ	4	False	2
2329	▁ದ	▁ದ	3	False	2
2330	▁ನಾ	▁ನಾ	1	False	3
2331	▁అయి	▁అయి	1	False	4
2332	▁ఉన్న	▁ఉన్న	10	False	5
2333	▁వచ్చింది.	▁వచ్చింది.	10	False	10
2334	▁ఇతర	▁ఇతర	8	False	4
2335	క్కువ	క్కువ	0	False	5
2336	దిన	దిన	2	False	3
2337	యాలు	యాలు	2	False	4
2338	రువా	రువా	0	False	4
2339	▁కేం	▁కేం	2	False	4
2340	▁భాష	▁భాష	4	False	4
2341	ts	ts	2	False	2
2342	▁par	▁par	0	False	4
2343	ity	ity	3	False	3
2344	ak	ak	0	False	2
2345	ted	ted	8	False	3
2346	▁are	▁are	33	False	4
2347	pp	pp	0	False	2
2348	▁ar	▁ar	0	False	3
2349	y,	y,	8	False	2
2350	outh	outh	0	False	4
2351	▁1947	▁1947	10	False	5
2352	▁అతి	▁అతి	7	False	4
2353	▁ప్రభు	▁ప్రభు	2	False	6
2354	▁రాష్ట్రా	▁రాష్ట్రా	1	False	9
2355	▁జరి	▁జరి	2	False	4
2356	▁తరువా	▁తరువా	0	False	6
2357	▁అధికా	▁అధికా	2	False	6
2358	▁మార్గాలు	▁మార్గాలు	9	False	9
2359	▁ಬಂ	▁ಬಂ	2	False	3
2360	▁ಬೆ	▁ಬೆ	0	False	3
2361	▁ಬ್ರಿ	▁ಬ್ರಿ	0	False	5
2362	▁ಲಕ್ಷ	▁ಲಕ್ಷ	6	False	5
2363	▁ಮಿಲಿಯ	▁ಮಿಲಿಯ	2	False	6
2364	0000	0000	0	False	4
2365	▁ಆರ್ಥಿಕ	▁ಆರ್ಥಿಕ	6	False	7
2366	▁ಪ್ರದೇಶ	▁ಪ್ರದೇಶ	4	False	7
2367	▁ಪ್ರಪಂಚ	▁ಪ್ರಪಂಚ	0	False	7
2368	▁ವಲಸೆ	▁ವಲಸೆ	6	False	5
2369	ಗಳಲ್ಲಿ	ಗಳಲ್ಲಿ	5	False	6
2370	▁ರಾಜ್ಯ	▁ರಾಜ್ಯ	2	False	6
2371	▁7	▁7	6	False	2
2372	క,	క,	6	False	2
2373	కాంగ్రె	కాంగ్రె	0	False	7
2374	గిన	గిన	1	False	3
2375	జకీ	జకీ	1	False	3
2376	ప్రదా	ప్రదా	0	False	5
2377	రణం	రణం	0	False	3
2378	లంలో	లంలో	0	False	4
2379	వాణా	వాణా	0	False	4
2380	▁అం	▁అం	6	False	3
2381	ig	ig	0	False	2
2382	con	con	0	False	3
2383	oc	oc	0	False	2
2384	▁v	▁v	0	False	2
2385	▁al	▁al	0	False	3
2386	ere	ere	1	False	3
2387	▁com	▁com	0	False	4
2388	▁inc	▁inc	0	False	4
2389	over	over	0	False	4
2390	▁int	▁int	0	False	4
2391	▁నుం	▁నుం	0	False	4
2392	▁మం	▁మం	5	False	3
2393	▁పెద్ద	▁పెద్ద	8	False	6
2394	▁కాంగ్రె	▁కాంగ్రె	1	False	8
2395	▁అనే	▁అనే	3	False	4
2396	▁ఇది	▁ఇది	8	False	4
2397	▁కలి	▁కలి	1	False	4
2398	▁ఎన్నో	▁ఎన్నో	8	False	6
2399	▁రవాణా	▁రవాణా	8	False	6
2400	▁ప్రపంచ	▁ప్రపంచ	6	False	7
2401	▁were	▁were	40	False	5
2402	ult	ult	0	False	3
2403	▁its	▁its	40	False	4
2404	hi	hi	1	False	2
2405	el	el	0	False	2
2406	▁co	▁co	0	False	3
2407	▁cent	▁cent	0	False	5
2408	ated	ated	12	False	4
2409	▁mil	▁mil	0	False	4
2410	▁de	▁de	0	False	3
2411	▁ಹೊಂದಿದೆ.	▁ಹೊಂದಿದೆ.	6	False	9
2412	ಡಳಿತ	ಡಳಿತ	0	False	4
2413	ಗರ	ಗರ	1	False	2
2414	ಗಿನ	ಗಿನ	3	False	3
2415	ದಿಂದ	ದಿಂದ	2	False	4
2416	ದೊಡ್ಡ	ದೊಡ್ಡ	1	False	5
2417	ನೆಯ	ನೆಯ	3	False	3
2418	ಮ್ರಾಜ್ಯ	ಮ್ರಾಜ್ಯ	0	False	7
2419	ಯಿಂದ	ಯಿಂದ	3	False	4
2420	ರಿವಂ	ರಿವಂ	0	False	4
2421	▁దక్షిణా	▁దక్షిణా	2	False	8
2422	గా,	గా,	7	False	3
2423	త్యధి	త్యధి	0	False	5
2424	దారు	దారు	1	False	4
2425	నిమా	నిమా	0	False	4
2426	ప్పటి	ప్పటి	1	False	5
2427	రంగా	రంగా	1	False	4
2428	రిత్ర	రిత్ర	0	False	5
2429	ర్ధిక	ర్ధిక	0	False	5
2430	లన	లన	0	False	2
2431	▁India's	▁India's	39	False	8
2432	ial	ial	0	False	3
2433	du	du	0	False	2
2434	ear	ear	1	False	3
2435	arge	arge	0	False	4
2436	ian	ian	3	False	3
2437	es,	es,	8	False	3
2438	ers	ers	6	False	3
2439	ary	ary	0	False	3
2440	gion	gion	0	False	4
2441	సియా	సియా	2	False	4
2442	స్కృతి	స్కృతి	0	False	6
2443	▁కొ	▁కొ	3	False	3
2444	▁నా	▁నా	2	False	3
2445	▁బం	▁బం	1	False	3
2446	▁వే	▁వే	0	False	3
2447	▁సిం	▁సిం	3	False	4
2448	▁అత్యధి	▁అత్యధి	1	False	7
2449	▁ప్రతి	▁ప్రతి	2	False	6
2450	▁ఉత్త	▁ఉత్త	0	False	5
2451	ರಿಂದ	ರಿಂದ	2	False	4
2452	ರೆಗೆ	ರೆಗೆ	1	False	4
2453	ವರ	ವರ	3	False	2
2454	ವಿರ	ವಿರ	0	False	3
2455	ವೆ.	ವೆ.	4	False	3
2456	ಸ್ವಾತಂ	ಸ್ವಾತಂ	0	False	6
2457	ಹಾಗೂ	ಹಾಗೂ	0	False	4
2458	೦೧	೦೧	2	False	2
2459	▁ಎ	▁ಎ	2	False	2
2460	▁ಕೆ	▁ಕೆ	1	False	3
2461	▁As	▁As	5	False	3
2462	▁sp	▁sp	0	False	3
2463	ism	ism	2	False	3
2464	▁un	▁un	0	False	3
2465	ire	ire	1	False	3
2466	mp	mp	0	False	2
2467	▁pro	▁pro	0	False	4
2468	ical	ical	3	False	4
2469	▁di	▁di	0	False	3
2470	our	our	1	False	3
2471	▁और	▁और	216	False	3
2472	▁भारत	▁भारत	197	False	5
2473	▁प	▁प	61	False	2
2474	▁की	▁की	183	False	3
2475	▁क	▁क	63	False	2
2476	▁से	▁से	132	False	3
2477	▁है।	▁है।	154	False	4
2478	▁ब	▁ब	54	False	2
2479	▁त	▁त	24	False	2
2480	▁प्र	▁प्र	60	False	4
2481	▁8	▁8	9	False	2
2482	,000	,000	2	False	4
2483	▁మత	▁మత	5	False	3
2484	▁ఆర్ధిక	▁ఆర్ధిక	7	False	7
2485	▁సంగీ	▁సంగీ	2	False	5
2486	▁రాష్ట్ర	▁రాష్ట్ర	2	False	8
2487	▁రాజకీ	▁రాజకీ	1	False	6
2488	▁పాకి	▁పాకి	1	False	5
2489	▁ఎక్కువ	▁ఎక్కువ	2	False	7
2490	▁కాలంలో	▁కాలంలో	5	False	7
2491	▁ಕ್ರಿ	▁ಕ್ರಿ	1	False	5
2492	▁ತ	▁ತ	5	False	2
2493	▁ಮುಂ	▁ಮುಂ	1	False	4
2494	▁ರೂ	▁ರೂ	3	False	3
2495	▁%),	▁%),	5	False	4
2496	▁ಸ್ವಾತಂ	▁ಸ್ವಾತಂ	1	False	7
2497	▁ಹಾಗೂ	▁ಹಾಗೂ	5	False	5
2498	▁ಭಾರತದಲ್ಲಿ	▁ಭಾರತದಲ್ಲಿ	3	False	10
2499	▁ಸಾಮ್ರಾಜ್ಯ	▁ಸಾಮ್ರಾಜ್ಯ	5	False	10
2500	▁ಸಾವಿರ	▁ಸಾವಿರ	5	False	6
2501	▁దేశ	▁దేశ	5	False	4
2502	▁సాధిం	▁సాధిం	3	False	6
2503	▁ఏర్ప	▁ఏర్ప	5	False	5
2504	▁గల	▁గల	7	False	3
2505	▁క్రీడ	▁క్రీడ	2	False	6
2506	▁సినిమా	▁సినిమా	5	False	7
2507	▁చిన్న	▁చిన్న	7	False	6
2508	▁అయిన	▁అయిన	7	False	5
2509	▁కేంద్ర	▁కేంద్ర	3	False	7
2510	▁–	▁–	19	False	2
2511	ved	ved	5	False	3
2512	▁cont	▁cont	0	False	5
2513	fter	fter	0	False	4
2514	os	os	0	False	2
2515	▁li	▁li	0	False	3
2516	▁ch	▁ch	0	False	3
2517	orth	orth	0	False	4
2518	rou	rou	0	False	3
2519	ame	ame	0	False	3
2520	▁Hin	▁Hin	0	False	4
2521	.2	.2	4	False	2
2522	▁199	▁199	4	False	4
2523	▁18	▁18	2	False	3
2524	▁2011	▁2011	17	False	5
2525	▁197	▁197	0	False	4
2526	కోవ	కోవ	2	False	3
2527	గంగా	గంగా	3	False	4
2528	ఢిల్లీ	ఢిల్లీ	0	False	6
2529	తం,	తం,	6	False	3
2530	తి,	తి,	5	False	3
2531	▁J	▁J	2	False	2
2532	a,	a,	10	False	2
2533	▁W	▁W	0	False	2
2534	ance	ance	3	False	4
2535	▁wor	▁wor	0	False	4
2536	overn	overn	0	False	5
2537	ch	ch	0	False	2
2538	low	low	0	False	3
2539	▁large	▁large	12	False	6
2540	ous	ous	1	False	3
2541	ಗಳನ್ನು	ಗಳನ್ನು	3	False	6
2542	▁ಸಂಪ	▁ಸಂಪ	2	False	4
2543	▁ಒಟ್ಟು	▁ಒಟ್ಟು	5	False	6
2544	▁ಮುಖ್ಯ	▁ಮುಖ್ಯ	3	False	6
2545	▁ಹಿಂದೂ	▁ಹಿಂದೂ	5	False	6
2546	▁ಮೊದ	▁ಮೊದ	0	False	4
2547	▁ಸಿರಿವಂ	▁ಸಿರಿವಂ	0	False	7
2548	▁ಶತಮಾನ	▁ಶತಮಾನ	1	False	6
2549	భిన్న	భిన్న	0	False	5
2550	ముఖ	ముఖ	0	False	3
2551	రణ	రణ	0	False	2
2552	విధ	విధ	0	False	3
2553	సింది.	సింది.	3	False	6
2554	సౌక	సౌక	0	False	3
2555	హదారు	హదారు	0	False	5
2556	▁కం	▁కం	1	False	3
2557	▁చా	▁చా	1	False	3
2558	▁పో	▁పో	6	False	3
2559	▁బెం	▁బెం	1	False	4
2560	▁బ్రి	▁బ్రి	0	False	5
2561	▁into	▁into	30	False	5
2562	▁R	▁R	1	False	2
2563	av	av	0	False	2
2564	age	age	1	False	3
2565	ution	ution	0	False	5
2566	▁bec	▁bec	0	False	4
2567	ass	ass	0	False	3
2568	▁form	▁form	7	False	5
2569	▁India,	▁India,	29	False	7
2570	ag	ag	0	False	2
2571	▁మూ	▁మూ	2	False	3
2572	▁ల	▁ల	2	False	2
2573	▁స్వ	▁స్వ	3	False	4
2574	▁స్వా	▁స్వా	1	False	5
2575	▁సౌక	▁సౌక	0	False	4
2576	▁ప్రజ	▁ప్రజ	1	False	5
2577	▁ప్రస్తు	▁ప్రస్తు	2	False	8
2578	▁ప్రముఖ	▁ప్రముఖ	4	False	7
2579	▁పట్ట	▁పట్ట	1	False	5
2580	▁ఉప	▁ఉప	2	False	3
2581	1,	1,	4	False	2
2582	ati	ati	0	False	3
2583	ber	ber	0	False	3
2584	og	og	0	False	2
2585	sh	sh	0	False	2
2586	any	any	0	False	3
2587	▁mo	▁mo	0	False	3
2588	lion	lion	0	False	4
2589	conom	conom	0	False	5
2590	overnment	overnment	0	False	9
2591	▁మతా	▁మతా	6	False	4
2592	▁సభ	▁సభ	4	False	3
2593	▁వివిధ	▁వివిధ	6	False	6
2594	▁జన	▁జన	0	False	3
2595	▁రకా	▁రకా	2	False	4
2596	▁రహదారు	▁రహదారు	2	False	7
2597	▁దేశాల	▁దేశాల	6	False	6
2598	▁నడి	▁నడి	1	False	4
2599	▁ముఖ్య	▁ముఖ్య	3	False	6
2600	▁దేశంలోని	▁దేశంలోని	6	False	9
2601	.6	.6	1	False	2
2602	ಕ್ಷಿಣ	ಕ್ಷಿಣ	1	False	5
2603	ಗಳೆಂ	ಗಳೆಂ	0	False	4
2604	ಗಿದೆ.	ಗಿದೆ.	4	False	5
2605	ಚುನಾ	ಚುನಾ	0	False	4
2606	ಡಿಯಾ	ಡಿಯಾ	1	False	4
2607	ತಂತ್ರ	ತಂತ್ರ	0	False	5
2608	ಥವಾ	ಥವಾ	0	False	3
2609	ದೆಹ	ದೆಹ	0	False	3
2610	ಧಿಪ	ಧಿಪ	1	False	3
2611	aj	aj	0	False	2
2612	me	me	0	False	2
2613	ot	ot	0	False	2
2614	ans	ans	0	False	3
2615	ant	ant	0	False	3
2616	▁ad	▁ad	0	False	3
2617	stit	stit	0	False	4
2618	▁per	▁per	8	False	4
2619	▁mar	▁mar	0	False	4
2620	▁Ch	▁Ch	0	False	3
2621	▁బహు	▁బహు	3	False	4
2622	▁రెండు	▁రెండు	6	False	6
2623	▁తరువాత	▁తరువాత	6	False	7
2624	▁అత్యధిక	▁అత్యధిక	6	False	8
2625	▁రాజకీయ	▁రాజకీయ	6	False	7
2626	..	..	2	False	2
2627	గలు	గలు	1	False	3
2628	చంలో	చంలో	0	False	4
2629	చీన	చీన	0	False	3
2630	చైనా	చైనా	0	False	4
2631	ress	ress	0	False	4
2632	▁centur	▁centur	0	False	7
2633	so	so	0	False	2
2634	oth	oth	0	False	3
2635	rit	rit	0	False	3
2636	▁k	▁k	0	False	2
2637	▁y	▁y	0	False	2
2638	▁at	▁at	20	False	3
2639	inist	inist	0	False	5
2640	es.	es.	10	False	3
2641	ಮಾರು	ಮಾರು	1	False	4
2642	ಯಿತು.	ಯಿತು.	2	False	5
2643	ರಡ	ರಡ	1	False	2
2644	ರಂಭ	ರಂಭ	0	False	3
2645	ರಿಕ	ರಿಕ	1	False	3
2646	ರೀಕ	ರೀಕ	1	False	3
2647	ವಣೆ	ವಣೆ	0	False	3
2648	ವು.	ವು.	2	False	3
2649	ಸಿದ	ಸಿದ	1	False	3
2650	ಸಿಂಧೂ	ಸಿಂಧೂ	0	False	5
2651	జ్యాలు	జ్యాలు	1	False	6
2652	టుంది.	టుంది.	1	False	6
2653	డియా	డియా	0	False	4
2654	తంత్ర	తంత్ర	0	False	5
2655	తాబ్దం	తాబ్దం	0	False	6
2656	తావ	తావ	0	False	3
2657	నంలో	నంలో	2	False	4
2658	నిక	నిక	3	False	3
2659	నుక	నుక	0	False	3
2660	పాలి	పాలి	1	False	4
2661	▁आ	▁आ	113	False	2
2662	▁उ	▁उ	72	False	2
2663	▁वि	▁वि	80	False	3
2664	▁को	▁को	108	False	3
2665	▁रा	▁रा	12	False	3
2666	▁सं	▁सं	45	False	3
2667	▁हैं	▁हैं	22	False	4
2668	▁ए	▁ए	19	False	2
2669	▁इ	▁इ	29	False	2
2670	▁सा	▁सा	29	False	3
2671	).	).	10	False	2
2672	▁196	▁196	3	False	4
2673	▁5	▁5	4	False	2
2674	3,	3,	3	False	2
2675	▁:	▁:	4	False	2
2676	▁ಕ	▁ಕ	2	False	2
2677	▁ಚ	▁ಚ	4	False	2
2678	▁ವಾ	▁ವಾ	2	False	3
2679	▁ವ್ಯ	▁ವ್ಯ	1	False	4
2680	▁ಸ್ವ	▁ಸ್ವ	2	False	4
2681	బితా	బితా	0	False	4
2682	మంత్రి	మంత్రి	0	False	6
2683	రిహ	రిహ	0	False	3
2684	లవు	లవు	0	False	3
2685	▁గు	▁గు	2	False	3
2686	▁తె	▁తె	2	False	3
2687	▁దా	▁దా	2	False	3
2688	▁నె	▁నె	3	False	3
2689	▁నే	▁నే	2	False	3
2690	▁పూ	▁పూ	5	False	3
2691	▁V	▁V	1	False	2
2692	▁le	▁le	0	False	3
2693	▁econom	▁econom	0	False	7
2694	uring	uring	1	False	5
2695	▁north	▁north	5	False	6
2696	angu	angu	0	False	4
2697	▁sub	▁sub	0	False	4
2698	cc	cc	0	False	2
2699	lud	lud	0	False	3
2700	mer	mer	0	False	3
2701	▁ముం	▁ముం	2	False	4
2702	▁యు	▁యు	5	False	3
2703	▁రో	▁రో	1	False	3
2704	▁చైనా	▁చైనా	1	False	5
2705	▁అను	▁అను	5	False	4
2706	▁అభి	▁అభి	1	False	4
2707	▁ప్రజా	▁ప్రజా	0	False	6
2708	▁పద్ధ	▁పద్ధ	2	False	5
2709	▁భారతదేశా	▁భారతదేశా	0	False	9
2710	▁మన	▁మన	2	False	3
2711	▁F	▁F	1	False	2
2712	qu	qu	0	False	2
2713	▁U	▁U	0	False	2
2714	▁se	▁se	0	False	3
2715	▁cl	▁cl	0	False	3
2716	▁pl	▁pl	0	False	3
2717	▁pop	▁pop	2	False	4
2718	▁el	▁el	0	False	3
2719	▁government	▁government	17	False	11
2720	lec	lec	0	False	3
2721	▁ಸ್ಥಾನ	▁ಸ್ಥಾನ	2	False	6
2722	▁ದೊಡ್ಡ	▁ದೊಡ್ಡ	4	False	6
2723	▁ಚುನಾ	▁ಚುನಾ	0	False	5
2724	▁ದೆಹ	▁ದೆಹ	0	False	4
2725	▁ಸಿಂಧೂ	▁ಸಿಂಧೂ	4	False	6
2726	▁ಭಾಗ	▁ಭಾಗ	2	False	4
2727	▁ಅಥವಾ	▁ಅಥವಾ	4	False	5
2728	▁ಆಡಳಿತ	▁ಆಡಳಿತ	2	False	6
2729	▁ಆರಂಭ	▁ಆರಂಭ	1	False	5
2730	▁ಪಡೆ	▁ಪಡೆ	2	False	4
2731	▁మహా	▁మహా	1	False	4
2732	▁వచ్చి	▁వచ్చి	2	False	6
2733	▁ఇవి	▁ఇవి	5	False	4
2734	▁సమ	▁సమ	3	False	3
2735	▁సమా	▁సమా	2	False	4
2736	▁సరిహ	▁సరిహ	0	False	5
2737	▁ఎన్ను	▁ఎన్ను	3	False	6
2738	▁తన	▁తన	5	False	3
2739	▁తమి	▁తమి	0	False	4
2740	▁జాబితా	▁జాబితా	5	False	7
2741	ry	ry	3	False	2
2742	▁K	▁K	0	False	2
2743	red	red	3	False	3
2744	▁ca	▁ca	0	False	3
2745	ort	ort	0	False	3
2746	▁pri	▁pri	0	False	4
2747	▁fir	▁fir	0	False	4
2748	▁langu	▁langu	0	False	6
2749	ome	ome	2	False	3
2750	▁dec	▁dec	0	False	4
2751	▁ఉంటా	▁ఉంటా	1	False	5
2752	▁కూడు	▁కూడు	0	False	5
2753	▁కూడిన	▁కూడిన	5	False	6
2754	▁రైల్వే	▁రైల్వే	3	False	7
2755	▁వాతావ	▁వాతావ	0	False	6
2756	▁నిర్వ	▁నిర్వ	0	False	6
2757	▁మొత్తం	▁మొత్తం	5	False	7
2758	▁ప్రాచీన	▁ప్రాచీన	5	False	8
2759	▁అధిక	▁అధిక	5	False	5
2760	▁ఇండియా	▁ఇండియా	5	False	7
2761	ght	ght	2	False	3
2762	▁comp	▁comp	0	False	5
2763	▁Hindu	▁Hindu	8	False	6
2764	pe	pe	0	False	2
2765	nt	nt	0	False	2
2766	un	un	0	False	2
2767	▁he	▁he	1	False	3
2768	▁tra	▁tra	0	False	4
2769	▁ag	▁ag	0	False	3
2770	ener	ener	0	False	4
2771	ವಾಗಿದೆ.	ವಾಗಿದೆ.	4	False	7
2772	▁ಉಗ	▁ಉಗ	1	False	3
2773	▁ರಾಷ್ಟ್ರ	▁ರಾಷ್ಟ್ರ	4	False	8
2774	▁ನಗರ	▁ನಗರ	4	False	4
2775	▁ಎಂಬ	▁ಎಂಬ	4	False	4
2776	▁ಹೆಸರು	▁ಹೆಸರು	4	False	6
2777	▁ಬೆಳೆ	▁ಬೆಳೆ	2	False	5
2778	▁ಬ್ರಿಟಿ	▁ಬ್ರಿಟಿ	1	False	7
2779	▁ಮಿಲಿಯನ್	▁ಮಿಲಿಯನ್	4	False	8
2780	▁ಪ್ರಪಂಚದ	▁ಪ್ರಪಂಚದ	4	False	8
2781	▁నగ	▁నగ	1	False	3
2782	▁చరిత్ర	▁చరిత్ర	5	False	7
2783	▁ప్రపంచంలో	▁ప్రపంచంలో	3	False	10
2784	▁ప్రధానమంత్రి	▁ప్రధానమంత్రి	5	False	13
2785	▁ఒకటి	▁ఒకటి	3	False	5
2786	▁పండు	▁పండు	3	False	5
2787	▁మొదటి	▁మొదటి	5	False	6
2788	▁ప్రాంతాలు	▁ప్రాంతాలు	5	False	10
2789	▁శతాబ్దం	▁శతాబ్దం	5	False	8
2790	▁ప్రభుత్వం	▁ప్రభుత్వం	5	False	10
2791	ence	ence	3	False	4
2792	▁sy	▁sy	0	False	3
2793	▁region	▁region	6	False	7
2794	▁South	▁South	17	False	6
2795	▁includ	▁includ	0	False	7
2796	▁year	▁year	0	False	5
2797	▁popul	▁popul	0	False	6
2798	▁first	▁first	23	False	6
2799	ff	ff	0	False	2
2800	iv	iv	0	False	2
2801	▁జరిగిన	▁జరిగిన	5	False	7
2802	▁నుండి	▁నుండి	5	False	6
2803	▁కాంగ్రెసు	▁కాంగ్రెసు	5	False	10
2804	▁అనేక	▁అనేక	5	False	5
2805	▁సంగీతం	▁సంగీతం	5	False	7
2806	▁రాష్ట్రప	▁రాష్ట్రప	1	False	9
2807	▁ఎక్కువగా	▁ఎక్కువగా	5	False	9
2808	▁బెంగా	▁బెంగా	1	False	6
2809	▁స్వాతం	▁స్వాతం	1	False	7
2810	▁పట్టణా	▁పట్టణా	3	False	7
2811	▁ರಾಜ್ಯಗಳು	▁ರಾಜ್ಯಗಳು	4	False	9
2812	▁ಕೆಲ	▁ಕೆಲ	1	False	4
2813	▁ಕ್ರಿ.	▁ಕ್ರಿ.	1	False	6
2814	▁ಸ್ವಾತಂತ್ರ್ಯ	▁ಸ್ವಾತಂತ್ರ್ಯ	4	False	12
2815	ಗಳೆಂದರೆ	ಗಳೆಂದರೆ	4	False	7
2816	▁ಚುನಾವಣೆ	▁ಚುನಾವಣೆ	4	False	8
2817	▁ದೆಹಲಿ	▁ದೆಹಲಿ	4	False	6
2818	04	04	2	False	2
2819	▁202	▁202	3	False	4
2820	ive	ive	6	False	3
2821	▁over	▁over	19	False	5
2822	all	all	0	False	3
2823	▁reli	▁reli	0	False	5
2824	ational	ational	2	False	7
2825	ide	ide	3	False	3
2826	uch	uch	0	False	3
2827	odern	odern	0	False	5
2828	ath	ath	1	False	3
2829	ave	ave	0	False	3
2830	e,	e,	4	False	2
2831	▁ने	▁ने	78	False	3
2832	▁ग	▁ग	29	False	2
2833	▁पर	▁पर	73	False	3
2834	▁నడిపిం	▁నడిపిం	2	False	7
2835	▁భారతదేశానికి	▁భారతదేశానికి	5	False	13
2836	▁సరిహద్దు	▁సరిహద్దు	5	False	9
2837	▁వాతావరణం	▁వాతావరణం	5	False	9
2838	▁कि	▁कि	33	False	3
2839	▁ज	▁ज	25	False	2
2840	रती	रती	4	False	3
2841	17	17	1	False	2
2842	కత	కత	1	False	2
2843	కారం	కారం	1	False	4
2844	కాలు	కాలు	1	False	4
2845	క్షరా	క్షరా	0	False	5
2846	చి,	చి,	4	False	3
2847	చుకోవ	చుకోవ	2	False	5
2848	టారు.	టారు.	1	False	5
2849	టిలో	టిలో	1	False	4
2850	డవ	డవ	2	False	2
2851	gan	gan	0	False	3
2852	we	we	0	False	2
2853	reas	reas	0	False	4
2854	stem	stem	0	False	4
2855	▁sh	▁sh	0	False	3
2856	▁south	▁south	4	False	6
2857	▁end	▁end	5	False	4
2858	ect	ect	1	False	3
2859	ection	ection	1	False	6
2860	▁ne	▁ne	0	False	3
2861	▁12	▁12	4	False	3
2862	తున్న	తున్న	2	False	5
