id	token	visible	frequency_full	is_special	length_chars
220	ची	ची	16	False	2
221	चु	चु	0	False	2
222	चू	चू	1	False	2
223	चे	चे	6	False	2
224	चें	चें	1	False	3
225	चै	चै	1	False	2
226	चो	चो	4	False	2
227	चों	चों	2	False	3
228	चौ	चौ	3	False	2
229	च्च	च्च	11	False	3
230	च्चा	च्चा	1	False	4
231	च्छा	च्छा	1	False	4
232	च्छी	च्छी	1	False	4
233	च्छु	च्छु	1	False	4
234	च्छे	च्छे	1	False	4
235	छ	छ	8	False	1
236	छा	छा	1	False	2
237	छू	छू	2	False	2
238	छे	छे	2	False	2
239	छो	छो	1	False	2
240	ज	ज	43	False	1
241	जं	जं	4	False	2
242	ज़	ज़	7	False	2
243	ज़ी	ज़ी	8	False	3
244	ज़्या	ज़्या	3	False	5
245	जा	जा	15	False	2
246	जि	जि	11	False	2
247	जी	जी	19	False	2
248	जु	जु	3	False	2
249	जू	जू	6	False	2
250	जें	जें	1	False	3
251	जै	जै	1	False	2
252	जो	जो	3	False	2
253	जों	जों	4	False	3
254	ज्ञा	ज्ञा	5	False	4
255	ज्य	ज्य	1	False	3
256	ज्या	ज्या	2	False	4
257	ज्यी	ज्यी	1	False	4
258	ज्यु	ज्यु	1	False	4
259	ज्यों	ज्यों	3	False	5
260	झ	झ	1	False	1
261	झा	झा	3	False	2
262	झु	झु	1	False	2
263	झे	झे	3	False	2
264	झौ	झौ	3	False	2
265	ट	ट	53	False	1
266	टा	टा	7	False	2
267	टि	टि	9	False	2
268	टी	टी	12	False	2
269	टे	टे	18	False	2
270	टें	टें	1	False	3
271	टों	टों	2	False	3
272	ट्टा	ट्टा	1	False	4
273	ट्य	ट्य	1	False	3
274	ट्रो	ट्रो	1	False	4
275	ठ	ठ	11	False	1
276	ठं	ठं	1	False	2
277	ठा	ठा	6	False	2
278	ठि	ठि	3	False	2
279	ठी	ठी	2	False	2
280	ड	ड	28	False	1
281	ड़	ड़	12	False	2
282	ड़ा	ड़ा	14	False	3
283	ड़ि	ड़ि	3	False	3
284	ड़ी	ड़ी	16	False	3
285	ड़े	ड़े	9	False	3
286	ड़ें	ड़ें	1	False	4
287	ड़ो	ड़ो	7	False	3
288	ड़ों	ड़ों	2	False	4
289	डा	डा	7	False	2
290	डां	डां	1	False	3
291	डि	डि	6	False	2
292	डी	डी	8	False	2
293	डु	डु	3	False	2
294	डे	डे	4	False	2
295	डॉ	डॉ	0	False	2
296	डो	डो	3	False	2
297	ड्य	ड्य	1	False	3
298	ड्यों	ड्यों	1	False	5
299	ढ	ढ	2	False	1
300	ढ़	ढ़	13	False	2
301	ढ़ा	ढ़ा	3	False	3
302	ढ़ो	ढ़ो	2	False	3
303	ढा	ढा	1	False	2
304	ढाँ	ढाँ	2	False	3
305	ढां	ढां	1	False	3
306	ढि	ढि	1	False	2
307	ण	ण	36	False	1
308	णा	णा	18	False	2
309	णि	णि	3	False	2
310	णी	णी	7	False	2
311	णु	णु	0	False	2
312	ण्ड	ण्ड	7	False	3
313	ण्डि	ण्डि	3	False	4
314	ण्ण	ण्ण	2	False	3
315	त	त	165	False	1
316	तं	तं	2	False	2
317	तः	तः	6	False	2
318	ता	ता	76	False	2
319	तां	तां	5	False	3
320	ति	ति	59	False	2
321	ती	ती	29	False	2
322	तीं	तीं	1	False	3
323	तु	तु	12	False	2
324	तृ	तृ	0	False	2
325	ते	ते	42	False	2
326	तें	तें	1	False	3
327	तो	तो	8	False	2
328	तों	तों	5	False	3
329	तौ	तौ	2	False	2
330	त्का	त्का	2	False	4
331	त्कृ	त्कृ	1	False	4
332	त्ख	त्ख	1	False	3
333	त्त	त्त	3	False	3
334	त्ता	त्ता	1	False	4
335	त्ति	त्ति	3	False	4
336	त्ती	त्ती	2	False	4
337	त्थ	त्थ	1	False	3
338	त्था	त्था	3	False	4
339	त्न	त्न	4	False	3
340	त्प	त्प	4	False	3
341	त्पा	त्पा	6	False	4
342	त्म	त्म	3	False	3
343	त्मा	त्मा	2	False	4
344	त्मि	त्मि	1	False	4
345	त्य	त्य	11	False	3
346	त्यं	त्यं	1	False	4
347	त्या	त्या	8	False	4
348	त्यु	त्यु	2	False	4
349	त्ये	त्ये	4	False	4
350	त्यों	त्यों	1	False	5
351	त्यौ	त्यौ	1	False	4
352	त्र	त्र	12	False	3
353	त्रा	त्रा	1	False	4
354	त्रि	त्रि	14	False	4
355	त्री	त्री	3	False	4
356	त्रु	त्रु	1	False	4
357	त्रों	त्रों	4	False	5
358	त्व	त्व	4	False	3
359	त्वों	त्वों	1	False	5
360	त्‍त	त्‍त	1	False	4
361	त्‍व	त्‍व	2	False	4
362	थ	थ	11	False	1
363	था	था	3	False	2
364	थि	थि	1	False	2
365	थी	थी	5	False	2
366	थीं	थीं	1	False	3
