rank	left	right	merged
1889	త	మై	తమై
1890	▁ca	used	▁caused
1891	▁includ	ing	▁including
1892	▁reli	gion	▁religion
1893	ath	ematic	athematic
1894	ni	um	nium
1895	ord	ing	ording
1896	▁world	's	▁world's
1897	▁ri	ver	▁river
1898	▁soc	ial	▁social
1899	▁increas	ed	▁increased
1900	త	రం	తరం
1901	త	ర్జా	తర్జా
1902	త	ల	తల
1903	తు	లు,	తులు,
1904	తు	లతో	తులతో
1905	తూ	ర్పు	తూర్పు
1906	త్ర	,	త్ర,
1907	త్ర	మే	త్రమే
1908	త్రి	క	త్రిక
1909	త్రి	వ	త్రివ
1910	త్వం	లో	త్వంలో
1911	త్వా	నికి	త్వానికి
1912	ద	గా	దగా
1913	ద	రా	దరా
1914	ద	రణ	దరణ
1915	దా	యి.	దాయి.
1916	ది	నా	దినా
1917	దిం	ది.	దింది.
1918	దు	తున్న	దుతున్న
1919	ద్యు	త్	ద్యుత్
1920	▁mus	ic	▁music
1921	▁Sans	krit	▁Sanskrit
1922	owever	,	owever,
1923	▁Pun	jab	▁Punjab
1924	an	ge	ange
1925	a	red	ared
1926	i	ally	ially
1927	n	e	ne
1928	o	,	o,
1929	o	od	ood
1930	ద్ర	తీ	ద్రతీ
1931	ద్రం	,	ద్రం,
1932	ధిం	చిన	ధించిన
1933	ధూ	నది	ధూనది
1934	ధ్య	మైన	ధ్యమైన
1935	న	క	నక
1936	న	నీ	ననీ
1937	న	వ	నవ
1938	నం	:	నం:
1939	నా	,	నా,
1940	ಳ	ವ	ಳವ
1941	ಳಿ	ಕೆ	ಳಿಕೆ
1942	ಳೊಂ	ದಿಗೆ	ಳೊಂದಿಗೆ
1943	ಳ್ಳು	ವ	ಳ್ಳುವ
1944	ವ	ರಿ	ವರಿ
1945	ವ	ರು	ವರು
1946	ವಾ	ದ	ವಾದ
1947	ವಿ	ಭಜಿತ	ವಿಭಜಿತ
1948	ವಿಂ	ಗ	ವಿಂಗ
1949	ವೆ	ಲ್ತ್‌	ವೆಲ್ತ್‌
1950	▁ना	म	▁नाम
1951	▁शा	सन	▁शासन
1952	बं	ध	बंध
1953	सा	र	सार
1954	▁	ई	▁ई
1955	▁	यु	▁यु
1956	▁रा	ज्यों	▁राज्यों
1957	मु	ख	मुख
1958	शि	या	शिया
1959	स्ता	न	स्तान
1960	r	u	ru
1961	r	uc	ruc
1962	t	en	ten
1963	u	ro	uro
1964	v	ol	vol
1965	▁	en	▁en
1966	▁t	e	▁te
1967	▁t	r	▁tr
1968	▁t	ech	▁tech
1969	an	c	anc
1970	నా	లను	నాలను
1971	నా	లతో	నాలతో
1972	ని	జాలు	నిజాలు
1973	నుం	డి	నుండి
1974	న్న	ది.	న్నది.
1975	ప	క	పక
1976	ప	బ	పబ
1977	ప	రి	పరి
1978	ప	డిన	పడిన
1979	పా	డుకుంటూ	పాడుకుంటూ
1980	nd	am	ndam
1981	▁s	ig	▁sig
1982	▁of	fic	▁offic
1983	or	ies	ories
1984	▁p	re	▁pre
1985	▁p	ol	▁pol
1986	▁Ind	us	▁Indus
1987	es	s	ess
1988	▁f	ar	▁far
1989	▁f	am	▁fam
1990	పి	క్‌	పిక్‌
1991	పీ	ఠభూ	పీఠభూ
1992	పు	ణులు	పుణులు
1993	పో	యింది.	పోయింది.
1994	ప్రి	ల్	ప్రిల్
1995	బ	డ్డీ	బడ్డీ
1996	బ	డిన	బడిన
1997	బా	దు	బాదు
1998	భిం	చాల	భించాల
1999	మ	ర్థ్యం	మర్థ్యం
2000	ವ್ಯಾ	ಪಾ	ವ್ಯಾಪಾ
2001	ಹಂ	ಚಿ	ಹಂಚಿ
2002	▁	ಐ	▁ಐ
2003	▁	ಕೃ	▁ಕೃ
2004	▁	ನ್ಯೂ	▁ನ್ಯೂ
2005	▁	ಫ	▁ಫ
2006	▁	ಬಿ	▁ಬಿ
2007	▁	ಭೂ	▁ಭೂ
2008	▁	ಮಂ	▁ಮಂ
2009	▁	ಯ	▁ಯ
2010	▁	कें	▁कें
2011	▁	थी	▁थी
2012	▁अ	न्य	▁अन्य
2013	▁प्र	मुख	▁प्रमुख
2014	▁लि	ए	▁लिए
2015	▁सम	य	▁समय
2016	▁उत्त	र	▁उत्तर
2017	ल	य	लय
2018	▁क	रो	▁करो
2019	▁हैं	,	▁हैं,
2020	▁m	athematic	▁mathematic
2021	ic	e	ice
2022	▁l	ed	▁led
2023	▁d	ire	▁dire
2024	ro	l	rol
2025	ly	,	ly,
2026	▁re	m	▁rem
2027	ra	c	rac
2028	ation	s	ations
2029	▁S	i	▁Si
2030	మా	న	మాన
2031	మా	రు	మారు
2032	మా	జిక,	మాజిక,
2033	మిం	చబ	మించబ
2034	మీ	టర్ల	మీటర్ల
2035	ము	,	ము,
2036	ము	ఖ్య	ముఖ్య
2037	మె	రి	మెరి
2038	మే	.	మే.
2039	యు	త	యుత
2040	ve	ment	vement
2041	ow	n	own
2042	us	lim	uslim
2043	em	p	emp
2044	▁M	us	▁Mus
2045	▁st	y	▁sty
2046	▁r	ural	▁rural
2047	ure	,	ure,
2048	▁H	imal	▁Himal
2049	▁on	e	▁one
2050	య	మించబ	యమించబ
2051	యో	గి	యోగి
2052	యో	జ	యోజ
2053	ర	,	ర,
2054	ర	లో	రలో
2055	ర	వే	రవే
2056	ర	మైన	రమైన
2057	ర	పడిన	రపడిన
2058	రా	లు,	రాలు,
2059	రిం	చింది.	రించింది.
2060	▁	ವೃ	▁ವೃ
2061	▁	ಶೇ	▁ಶೇ
2062	▁	ಹೀ	▁ಹೀ
2063	▁	೭	▁೭
2064	▁	೯	▁೯
2065	▁	ನೆಯ	▁ನೆಯ
2066	▁	ತಂತ್ರ	▁ತಂತ್ರ
2067	▁	ಭರತ	▁ಭರತ
2068	▁	ಒಂದು	▁ಒಂದು
2069	▁	ಚೀನಾ	▁ಚೀನಾ
2070	▁पू	र्व	▁पूर्व
2071	ति	क	तिक
2072	▁	बी	▁बी
2073	▁	सि	▁सि
2074	▁	हा	▁हा
2075	▁स	मा	▁समा
2076	▁उ	प	▁उप
2077	▁सं	स्कृ	▁संस्कृ
2078	▁द	श	▁दश
2079	▁म	हा	▁महा
2080	▁al	l	▁all
2081	el	l	ell
2082	▁mil	itary	▁military
2083	▁mil	len	▁millen
2084	▁cont	rol	▁control
2085	▁li	fe	▁life
2086	rou	nd	round
2087	ati	ve	ative
2088	▁centur	ies	▁centuries
2089	▁includ	e	▁include
2090	రీ	క్ష	రీక్ష
2091	రు	గుబా	రుగుబా
2092	రో	పా	రోపా
2093	ర్కొం	టు	ర్కొంటు
2094	ర్యా	యాలు	ర్యాయాలు
2095	ర్వ	త్రిక	ర్వత్రిక
2096	ర్ష	ణ	ర్షణ
2097	ల	గు	లగు
2098	ల	స	లస
2099	ల	క్టోర	లక్టోర
2100	duc	ed	duced
2101	▁ser	ved	▁served
2102	lis	h	lish
2103	▁fore	st	▁forest
2104	▁Com	p	▁Comp
2105	▁cour	t	▁court
2106	uro	pe	urope
2107	▁Himal	ay	▁Himalay
2108	▁millen	nium	▁millennium
2109	▁1947	,	▁1947,
2110	లిం	చారు.	లించారు.
2111	లు	గా	లుగా
2112	లు	చుకోవ	లుచుకోవ
2113	లె	క్క	లెక్క
2114	లే	దు	లేదు
2115	లో	య	లోయ
2116	లో	మీటర్ల	లోమీటర్ల
2117	లౌ	కి	లౌకి
2118	ల్‌కా	తా	ల్‌కాతా
2119	ళి	,	ళి,
2120	▁(	1	▁(1
2121	9	.	9.
2122	▁Pl	ate	▁Plate
2123	-	s	-s
2124	-	w	-w
2125	a	u	au
2126	b	al	bal
2127	c	ri	cri
2128	d	le	dle
2129	e	h	eh
2130	వ	ర్తి	వర్తి
2131	వ	ల్ల	వల్ల
2132	వా	దం	వాదం
2133	వా	రి	వారి
2134	వి	స్తారు.	విస్తారు.
2135	వు	లు,	వులు,
2136	వే	.	వే.
2137	వై	న	వైన
2138	శా	న్య	శాన్య
2139	ష	యాలు	షయాలు
2140	▁	ದೃಷ್ಟಿ	▁ದೃಷ್ಟಿ
2141	▁	ಪ್ರಾಚೀನ	▁ಪ್ರಾಚೀನ
2142	▁	ವಿಂಗ	▁ವಿಂಗ
2143	▁	ವೆಲ್ತ್‌	▁ವೆಲ್ತ್‌
2144	▁	ವ್ಯಾಪಾ	▁ವ್ಯಾಪಾ
2145	▁	ಹಂಚಿ	▁ಹಂಚಿ
2146	▁ಭಾರತ	,	▁ಭಾರತ,
2147	00	000	00000
2148	▁ಅ	ತ್ಯಂತ	▁ಅತ್ಯಂತ
2149	▁ಅ	ಧಿಕೃತ	▁ಅಧಿಕೃತ
2150	▁कर	ने	▁करने
2151	▁र	हा	▁रहा
2152	▁दे	शों	▁देशों
2153	▁हि	न्दी	▁हिन्दी
2154	▁था	।	▁था।
2155	▁अधि	क	▁अधिक
2156	कि	स्तान	किस्तान
2157	तं	त्र	तंत्र
2158	दे	श	देश
2159	नि	क	निक
2160	i	et	iet
2161	i	ght	ight
2162	k	ed	ked
2163	l	ed	led
2164	n	olog	nolog
2165	o	se	ose
2166	s	l	sl
2167	v	i	vi
2168	▁	ed	▁ed
2169	▁	us	▁us
2170	స	న	సన
2171	స	ము	సము
2172	సి	ద్ధి	సిద్ధి
2173	స్క	రణ	స్కరణ
2174	స్తా	యి.	స్తాయి.
2175	స్తీ	ర్ణం	స్తీర్ణం
2176	స్త్రీ	లు	స్త్రీలు
2177	స్రా	బ్ది	స్రాబ్ది
2178	హా	కీ	హాకీ
2179	▁	ఓ	▁ఓ
2180	▁	used	▁used
2181	▁a	c	▁ac
2182	▁a	cc	▁acc
2183	in	c	inc
2184	▁o	ut	▁out
2185	al	le	alle
2186	▁s	ur	▁sur
2187	▁s	ect	▁sect
2188	▁s	ince	▁since
2189	▁c	re	▁cre
2190	హ	స్రాబ్ది	హస్రాబ్ది
2191	▁	కృ	▁కృ
2192	▁	క్రి	▁క్రి
2193	▁	గం	▁గం
2194	▁	జై	▁జై
2195	▁	జో	▁జో
2196	▁	తా	▁తా
2197	▁	తే	▁తే
2198	▁	థా	▁థా
2199	▁	ధ	▁ధ
2200	▁c	ol	▁col
2201	▁c	iti	▁citi
2202	▁I	ts	▁Its
2203	ar	n	arn
2204	▁w	om	▁wom
2205	▁w	ide	▁wide
2206	or	ld	orld
2207	▁b	ir	▁bir
2208	▁p	oli	▁poli
2209	▁Ind	o-	▁Indo-
2210	▁(	ಸು	▁(ಸು
2211	▁(	೧	▁(೧
2212	▁(	೨	▁(೨
2213	▁(	೦.	▁(೦.
2214	▁(	35	▁(35
2215	▁ಆ	ಗ	▁ಆಗ
2216	▁ಪ್ರ	ಮುಖ	▁ಪ್ರಮುಖ
2217	▁ವ	ರ್ಗ	▁ವರ್ಗ
2218	▁ವ	ರ್ಲ್ಡ್‌	▁ವರ್ಲ್ಡ್‌
2219	▁ವ	ರೆಗೆ	▁ವರೆಗೆ
2220	▁	-	▁-
2221	व्य	व	व्यव
2222	▁	मै	▁मै
2223	▁	या	▁या
2224	▁	शु	▁शु
2225	▁का	रण	▁कारण
2226	▁प	ह	▁पह
2227	▁क	ई	▁कई
2228	▁ए	शिया	▁एशिया
2229	▁म	ध्य	▁मध्य
2230	7	,	7,
2231	▁	ఫ	▁ఫ
2232	▁	బా	▁బా
2233	▁	బి	▁బి
2234	▁	బౌ	▁బౌ
2235	▁	మి	▁మి
2236	▁	మె	▁మె
2237	▁	యా	▁యా
2238	▁	రి	▁రి
2239	▁	వె	▁వె
2240	▁f	ac	▁fac
2241	▁m	ade	▁made
2242	▁l	ow	▁low
2243	▁l	oc	▁loc
2244	▁e	mp	▁emp
2245	ent	ral	entral
2246	ou	t	out
2247	▁h	igh	▁high
2248	▁g	re	▁gre
2249	▁g	ra	▁gra
2250	▁	శి	▁శి
2251	▁	స్వీ	▁స్వీ
2252	▁	హ	▁హ
2253	▁	లకు	▁లకు
2254	▁	రంగం	▁రంగం
2255	▁	తూర్పు	▁తూర్పు
2256	▁	పీఠభూ	▁పీఠభూ
2257	▁	లౌకి	▁లౌకి
2258	▁	స్త్రీలు	▁స్త్రీలు
2259	▁	హాకీ	▁హాకీ
2260	▁g	reat	▁great
2261	▁A	n	▁An
2262	ra	ph	raph
2263	ver	y	very
2264	ation	,	ation,
2265	am	p	amp
2266	id	ent	ident
2267	ment	s	ments
2268	▁M	uslim	▁Muslim
2269	▁as	s	▁ass
2270	2	6	26
2271	9	3,	93,
2272	%)	.	%).
2273	42	2	422
2274	▁E	ng	▁Eng
2275	ac	k	ack
2276	▁D	el	▁Del
2277	▁G	u	▁Gu
2278	▁par	ti	▁parti
2279	▁co	al	▁coal
2280	▁భా	షా	▁భాషా
2281	▁భా	గాన్ని	▁భాగాన్ని
2282	భార	త	భారత
2283	▁అ	న్ని	▁అన్ని
2284	▁అ	క్షరాస్యత	▁అక్షరాస్యత
2285	▁అ	మెరి	▁అమెరి
2286	▁ప్ర	దే	▁ప్రదే
2287	▁ప్ర	యోజ	▁ప్రయోజ
2288	▁ప్ర	సిద్ధి	▁ప్రసిద్ధి
2289	▁ప	తా	▁పతా
2290	▁हु	ए	▁हुए
2291	▁नि	र्मा	▁निर्मा
2292	▁हो	ता	▁होता
2293	▁न	हीं	▁नहीं
2294	▁पा	किस्तान	▁पाकिस्तान
2295	▁इस	के	▁इसके
2296	▁अं	ग्रे	▁अंग्रे
2297	▁चु	ना	▁चुना
2298	▁अनु	सार	▁अनुसार
2299	मं	त्री	मंत्री
2300	▁ವ	ರದಿಯಲ್ಲಿ	▁ವರದಿಯಲ್ಲಿ
2301	▁ಪಾ	ತ್ರ	▁ಪಾತ್ರ
2302	▁ಸಂ	ಸ್ಥೆ	▁ಸಂಸ್ಥೆ
2303	▁ಜನ	ಗಣತಿ	▁ಜನಗಣತಿ
2304	▁ಕೋ	ಟ್ಯಧಿಪತಿ	▁ಕೋಟ್ಯಧಿಪತಿ
2305	▁ಉ	ತ್ಪಾದ	▁ಉತ್ಪಾದ
2306	▁ಜನಸಂ	ಖ್ಯಾ	▁ಜನಸಂಖ್ಯಾ
2307	▁ಈ	ಸ್ಟ್	▁ಈಸ್ಟ್
2308	▁ಈ	ಗಿನ	▁ಈಗಿನ
2309	▁ಇ	ದೆ.	▁ಇದೆ.
2310	▁co	ast	▁coast
2311	▁co	ok	▁cook
2312	▁cent	ral	▁central
2313	▁de	v	▁dev
2314	arge	st	argest
2315	▁J	ain	▁Jain
2316	▁W	orld	▁World
2317	▁centur	y	▁century
2318	▁centur	y,	▁century,
2319	▁ag	ric	▁agric
2320	▁ప	ద	▁పద
2321	▁ప	ర్వ	▁పర్వ
2322	▁ప	లు	▁పలు
2323	▁ప	వి	▁పవి
2324	▁ప	క్కన	▁పక్కన
2325	▁ప	రీక్ష	▁పరీక్ష
2326	▁ప	ర్యాయాలు	▁పర్యాయాలు
2327	▁మ	రో	▁మరో
2328	▁మ	హి	▁మహి
2329	▁మ	లయా	▁మలయా
2330	▁reli	g	▁relig
2331	▁dis	p	▁disp
2332	▁ter	rit	▁territ
2333	▁fol	lowing	▁following
2334	▁grow	th	▁growth
2335	▁hum	an	▁human
2336	▁fe	at	▁feat
2337	▁emerg	ed	▁emerged
2338	-l	argest	-largest
2339	▁fou	nd	▁found
2340	▁ఆ	సియా	▁ఆసియా
2341	▁వ	ర్గా	▁వర్గా
2342	▁వ	హిం	▁వహిం
2343	▁వ	లన	▁వలన
2344	▁వ	లస	▁వలస
2345	▁సం	ఖ్యా	▁సంఖ్యా
2346	▁సం	స్కరణ	▁సంస్కరణ
2347	▁రా	జ్య	▁రాజ్య
2348	▁రా	జ్యంగా	▁రాజ్యంగా
2349	▁ఇ	క్క	▁ఇక్క
2350	वि	धान	विधान
2351	▁	इं	▁इं
2352	▁	जी	▁जी
2353	▁	न्या	▁न्या
2354	▁	सै	▁सै
2355	▁	ही	▁ही
2356	▁अ	न्त	▁अन्त
2357	▁से	ना	▁सेना
2358	▁ब	ढ़	▁बढ़
2359	▁प्र	ति	▁प्रति
2360	▁ಇ	ತರ	▁ಇತರ
2361	▁ಇ	ತಿಹಾ	▁ಇತಿಹಾ
2362	▁ನ	ದಿ	▁ನದಿ
2363	▁ಬ	ಲ	▁ಬಲ
2364	೦೦	೦	೦೦೦
2365	೦೦	೯	೦೦೯
2366	▁ಹೊಂದಿ	ರುವ	▁ಹೊಂದಿರುವ
2367	▁ವಿ	ಶ್ವ	▁ವಿಶ್ವ
2368	▁ಶ	ಕ್ತಿಯ	▁ಶಕ್ತಿಯ
2369	▁ದೇಶ	ದ	▁ದೇಶದ
2370	ultan	ate	ultanate
2371	▁tr	ans	▁trans
2372	▁rem	ain	▁remain
2373	▁Si	kh	▁Sikh
2374	▁Comp	any	▁Company
2375	▁sect	or	▁sector
2376	▁wom	en	▁women
2377	▁Eng	lish	▁English
2378	▁Del	hi	▁Delhi
2379	▁agric	ult	▁agricult
2380	▁ఇ	టీవ	▁ఇటీవ
2381	▁స	హస్రాబ్ది	▁సహస్రాబ్ది
2382	▁క	ను	▁కను
2383	▁క	ళ	▁కళ
2384	▁క	నుక	▁కనుక
2385	▁క	బడ్డీ	▁కబడ్డీ
2386	▁వి	లు	▁విలు
2387	▁వి	ద్యుత్	▁విద్యుత్
2388	▁వి	షయాలు	▁విషయాలు
2389	▁వి	స్తీర్ణం	▁విస్తీర్ణం
2390	-	c	-c
2391	D	P	DP
2392	J	P	JP
2393	c	ent	cent
2394	f	t	ft
2395	f	ore	fore
2396	m	it	mit
2397	n	ing	ning
2398	o	in	oin
2399	r	is	ris
2400	▁सा	म्रा	▁साम्रा
2401	▁ग	या।	▁गया।
2402	▁दि	या	▁दिया
2403	▁प्रा	चीन	▁प्राचीन
2404	▁भाषा	ओं	▁भाषाओं
2405	▁लो	क	▁लोक
2406	▁भू	मि	▁भूमि
2407	▁कें	द्र	▁केंद्र
2408	▁करो	ड़	▁करोड़
2409	–	2	–2
2410	93,	422	93,422
2411	▁పా	క్	▁పాక్
2412	▁పా	లకు	▁పాలకు
2413	▁పా	లించారు.	▁పాలించారు.
2414	▁భారతదేశం	.	▁భారతదేశం.
2415	▁జ	ల	▁జల
2416	▁ఎ	లక్టోర	▁ఎలక్టోర
2417	▁భార	త్,	▁భారత్,
2418	▁త	ర్వా	▁తర్వా
2419	▁త	క్కువ	▁తక్కువ
2420	s	s	ss
2421	t	,	t,
2422	t	y	ty
2423	u	al	ual
2424	u	ally	ually
2425	y	a	ya
2426	▁	esp	▁esp
2427	an	u	anu
2428	in	s	ins
2429	▁the	y	▁they
2430	▁೨	೦೦೯	▁೨೦೦೯
2431	▁ನಂತರ	ದ	▁ನಂತರದ
2432	▁ಅಂ	ಕಿ	▁ಅಂಕಿ
2433	▁ಅಂ	ಶಗಳು	▁ಅಂಶಗಳು
2434	▁ಸಿ	ಖ್	▁ಸಿಖ್
2435	▁"	ಇಂ	▁"ಇಂ
2436	▁ಸು	ಲ್ತಾ	▁ಸುಲ್ತಾ
2437	▁೧೯	೭	▁೧೯೭
2438	▁3	50	▁350
2439	▁ಗ	ಣರಾ	▁ಗಣರಾ
2440	▁196	5,	▁1965,
2441	▁మా	ర్గం	▁మార్గం
2442	▁మా	ట్లాడే	▁మాట్లాడే
2443	▁మా	త్రమే	▁మాత్రమే
2444	▁జా	తి	▁జాతి
2445	▁జా	తులు,	▁జాతులు,
2446	▁కా	లే	▁కాలే
2447	▁కా	శ్మీ	▁కాశ్మీ
2448	▁కా	రణంగా	▁కారణంగా
2449	▁కా	పాడుకుంటూ	▁కాపాడుకుంటూ
2450	▁o	ri	▁ori
2451	al	e	ale
2452	al	s	als
2453	▁s	o	▁so
2454	ed	i	edi
2455	▁c	ar	▁car
2456	▁c	ens	▁cens
2457	at	ing	ating
2458	and	hi	andhi
2459	▁an	imal	▁animal
2460	ग्रे	स	ग्रेस
2461	रा	ज्य	राज्य
2462	ष्ट्री	य	ष्ट्रीय
2463	सि	त	सित
2464	▁	ओ	▁ओ
2465	▁	गु	▁गु
2466	▁	चा	▁चा
2467	▁	ती	▁ती
2468	▁	द्वा	▁द्वा
2469	▁प	श्चि	▁पश्चि
2470	8	.	8.
2471	▁కూ	డి	▁కూడి
2472	▁సా	మర్థ్యం	▁సామర్థ్యం
2473	▁సా	మాజిక,	▁సామాజిక,
2474	▁సా	ర్వత్రిక	▁సార్వత్రిక
2475	▁దేశం	.	▁దేశం.
2476	▁ర	చయి	▁రచయి
2477	▁ఒ	లం	▁ఒలం
2478	▁వా	యు	▁వాయు
2479	▁వా	హ	▁వాహ
2480	▁an	cient	▁ancient
2481	▁I	sl	▁Isl
2482	▁of	f	▁off
2483	or	k	ork
2484	or	ts	orts
2485	▁p	ain	▁pain
2486	▁f	ed	▁fed
2487	▁f	ig	▁fig
2488	▁l	ast	▁last
2489	▁d	ra	▁dra
2490	▁d	omin	▁domin
2491	ec	ially	ecially
2492	▁n	o	▁no
2493	▁n	ational	▁national
2494	▁g	e	▁ge
2495	▁g	lo	▁glo
2496	ul	pt	ulpt
2497	ver	se	verse
2498	▁C	entral	▁Central
2499	ad	es	ades
2500	▁ఈ	స్ట్	▁ఈస్ట్
2501	▁ఈ	శాన్య	▁ఈశాన్య
2502	▁ని	ర్మిం	▁నిర్మిం
2503	▁ని	డివి	▁నిడివి
2504	▁ని	పుణులు	▁నిపుణులు
2505	▁ని	యమించబ	▁నియమించబ
2506	▁మొ	గలు	▁మొగలు
2507	▁పే	ర్కొ	▁పేర్కొ
2508	▁పే	ర్లు	▁పేర్లు
2509	లలో	ను	లలోను
2510	▁ನಾ	ಲ್ಕು	▁ನಾಲ್ಕು
2511	▁ಬಂ	ದಿದೆ.	▁ಬಂದಿದೆ.
2512	▁ಬಂ	ದದ್ದು.	▁ಬಂದದ್ದು.
2513	▁ಬೆ	ಳವ	▁ಬೆಳವ
2514	▁ಬ್ರಿ	ಟೀ	▁ಬ್ರಿಟೀ
2515	▁ಪ್ರದೇಶ	ಗಳು	▁ಪ್ರದೇಶಗಳು
2516	▁ಪ್ರಪಂಚ	ದಲ್ಲಿ	▁ಪ್ರಪಂಚದಲ್ಲಿ
2517	ವರ	ನ್ನು	ವರನ್ನು
2518	▁ಮುಂ	ಬೈ	▁ಮುಂಬೈ
2519	▁ಮುಂ	ದಕ್ಕೆ	▁ಮುಂದಕ್ಕೆ
2520	▁प्र	धान	▁प्रधान
2521	▁सं	घ	▁संघ
2522	▁सं	विधान	▁संविधान
2523	▁व	र्ष	▁वर्ष
2524	▁किया	।	▁किया।
2525	▁स्व	तंत्र	▁स्वतंत्र
2526	▁बी	च	▁बीच
2527	▁दश	क	▁दशक
2528	व्यव	स्था	व्यवस्था
2529	▁मै	दा	▁मैदा
2530	▁The	re	▁There
2531	▁th	ir	▁thir
2532	▁st	at	▁stat
2533	▁E	urope	▁Europe
2534	▁u	p	▁up
2535	▁G	anges	▁Ganges
2536	▁G	andhi	▁Gandhi
2537	▁N	eh	▁Neh
2538	▁are	as	▁areas
2539	▁ar	ti	▁arti
2540	▁లో	క్	▁లోక్
2541	▁లో	క్‌సభ	▁లోక్‌సభ
2542	▁ఏ	ప్రిల్	▁ఏప్రిల్
2543	▁గ	త	▁గత
2544	▁గ	మ	▁గమ
2545	▁గ	ణతంత్ర	▁గణతంత్ర
2546	▁ఇం	డో	▁ఇండో
2547	▁ఇం	గ్లీషు	▁ఇంగ్లీషు
2548	▁స్థా	నం	▁స్థానం
2549	▁స్థా	వరాలు	▁స్థావరాలు
2550	ian	s	ians
2551	▁As	ian	▁Asian
2552	▁di	versity	▁diversity
2553	▁cont	rib	▁contrib
2554	▁Hin	di	▁Hindi
2555	▁le	g	▁leg
2556	▁econom	y	▁economy
2557	▁pl	ain	▁plain
2558	pe	nd	pend
2559	iv	il	ivil
2560	▁స్థా	నాలను	▁స్థానాలను
2561	▁కు	లాలు,	▁కులాలు,
2562	▁కో	ల్‌కాతా	▁కోల్‌కాతా
2563	▁చ	ద	▁చద
2564	▁చ	వి	▁చవి
2565	▁ప్రాం	తీయ	▁ప్రాంతీయ
2566	▁ము	డి	▁ముడి
2567	▁ము	స్లిం	▁ముస్లిం
2568	▁ము	ఖ్యంగా	▁ముఖ్యంగా
2569	▁పేరు	,	▁పేరు,
2570	▁part	y	▁party
2571	▁sc	ulpt	▁sculpt
2572	▁major	ity	▁majority
2573	▁ear	li	▁earli
2574	▁ear	ly	▁early
2575	▁Con	stitution	▁Constitution
2576	▁occ	up	▁occup
2577	▁count	ry	▁country
2578	▁parliament	ary	▁parliamentary
2579	▁tech	nolog	▁technolog
2580	▁poli	tical	▁political
2581	▁relig	ious	▁religious
2582	▁esp	ecially	▁especially
2583	▁ori	gin	▁origin
2584	▁pain	ting	▁painting
2585	▁thir	d	▁third
2586	▁Neh	ru	▁Nehru
2587	▁క్రీ	డా	▁క్రీడా
2588	▁క్రీ	.పూ	▁క్రీ.పూ
2589	▁శా	సన	▁శాసన
2590	▁ರೂ	.2	▁ರೂ.2
2591	▁ಭಾರತದಲ್ಲಿ	ರುವ	▁ಭಾರತದಲ್ಲಿರುವ
2592	▁ಮುಖ್ಯ	ವಾದ	▁ಮುಖ್ಯವಾದ
2593	▁ಮೊದ	ಲಾದ	▁ಮೊದಲಾದ
2594	▁ಸಿರಿವಂ	ತರ	▁ಸಿರಿವಂತರ
2595	▁ಶತಮಾನ	ದಲ್ಲಿ	▁ಶತಮಾನದಲ್ಲಿ
2596	▁ಶತಮಾನ	ದಿಂದ	▁ಶತಮಾನದಿಂದ
2597	▁ಕ	ರೆಯ	▁ಕರೆಯ
2598	▁ವಾ	ಣಿಜ್ಯ	▁ವಾಣಿಜ್ಯ
2599	▁ಸ್ವ	ತಂತ್ರ	▁ಸ್ವತಂತ್ರ
2600	▁चुना	वों	▁चुनावों
2601	ई	।	ई।
2602	कॉं	ग्रेस	कॉंग्रेस
2603	जा	ति	जाति
2604	मि	ल	मिल
2605	य	न	यन
2606	यो	ग	योग
2607	र्थि	क	र्थिक
2608	▁	भ	▁भ
2609	▁	यू	▁यू
2610	▁సి	క్కు	▁సిక్కు
2611	▁"	భ	▁"భ
2612	▁పార్టీ	,	▁పార్టీ,
2613	▁చి	త్ర	▁చిత్ర
2614	▁జనాభా	తో	▁జనాభాతో
2615	▁మొద	లగు	▁మొదలగు
2616	▁ప్రాంతా	ల్లో	▁ప్రాంతాల్లో
2617	రాలు	.	రాలు.
2618	▁చెం	దాయి.	▁చెందాయి.
2619	▁చెం	దుతున్న	▁చెందుతున్న
2620	.	1	.1
2621	ig	n	ign
2622	▁A	ct	▁Act
2623	5	.	5.
2624	6	,	6,
2625	d	ay	day
2626	f	ied	fied
2627	h	at	hat
2628	i	)	i)
2629	i	x	ix
2630	▁పు	ట్టి	▁పుట్టి
2631	▁రెం	డో	▁రెండో
2632	▁రెం	డవ	▁రెండవ
2633	▁సాం	కేతి	▁సాంకేతి
2634	▁అయి	నా,	▁అయినా,
2635	▁ఇతర	దేశా	▁ఇతరదేశా
2636	▁భాష	లను	▁భాషలను
2637	▁అతి	పెద్ద	▁అతిపెద్ద
2638	▁ప్రభు	త్వాన్ని	▁ప్రభుత్వాన్ని
2639	▁రాష్ట్రా	లు	▁రాష్ట్రాలు
2640	k	e	ke
2641	l	es,	les,
2642	m	in	min
2643	m	inist	minist
2644	t	a	ta
2645	v	ent	vent
2646	w	n	wn
2647	w	an	wan
2648	w	ard	ward
2649	w	ork	work
2650	▁	स्थि	▁स्थि
2651	▁आ	र्थिक	▁आर्थिक
2652	▁उ	न	▁उन
2653	▁ने	तृ	▁नेतृ
2654	▁ग	ण	▁गण
2655	▁जा	ती	▁जाती
2656	▁जन	जाति	▁जनजाति
2657	▁बहु	त	▁बहुत
2658	▁थी	।	▁थी।
2659	▁निर्मा	ण	▁निर्माण
